lfd;Kurzform;Ortsname_BadWB;Lat;Lon
117;Bettgn;Bettingen;49.7723275;9.5636677
118;Bettmargn;Bettmaringen;47.7536237;8.3620669
119;Betzenhsn;Betzenhausen;48.0075465;7.815501
120;Beuggen;Beuggen;47.5823763;7.8061053
121;Beuren (Salem);Beuren (Salem);47.801;9.32212
122;Beuren a. Aach;Beuren a. Aach;47.7997086;8.875587
123;Beuren a. Ried;Beuren a. Ried;47.7987282;8.6968052
124;Biberach;Biberach;48.33839;8.03276
125;Bickensohl;Bickensohl;48.0772614;7.6468589
126;Biederb.;Biederbach;48.1976258;8.0382223
127;Biengen;Biengen;47.9387636;7.6912304
128;Bierbronnen;Bierbronnen;47.6754098;8.1898646
129;Biesend.;Biesendorf;47.9132089;8.8123806
130;Biesgn;Biesingen;47.9877427;8.5851547
131;Bietighm;Bietigheim;48.9126152;8.2539859
132;Bietgn (Konst.);Bietingen (Konst.);47.73852;8.73113
133;Bietgn (Meßk.);Bietingen (Meßk.);47.97125;9.03216
134;Biezighfn;Biezighofen;47.9403077;7.8192196
135;Bilfgn;Bilfingen;48.9470879;8.6229305
136;Billafgn;Billafingen;47.83156;9.14158
137;Billighm;Billigheim;49.3486;9.25389
138;Binau;Binau;49.3681375;9.0583418
139;Binngn;Binningen;47.7941253;8.7256498
140;Binzen;Binzen;47.6312281;7.6243455
141;Binzgen;Binzgen;47.575811;8.0602539
142;Birkend.;Birkendorf;47.7498721;8.3110503
143;Birkgn;Birkingen;47.6252989;8.1485286
144;Birnau;Birnau;47.7468082;9.2191414
145;Birnd.;Birndorf;47.6240404;8.1331643
146;Bischoffgn;Bischoffingen;48.1048352;7.6278081
147;Bischw.;Bischweier;48.8386718;8.2843093
148;Bittelbrunn;Bittelbrunn;47.8659319;8.8117396
149;Blankenloch;Blankenloch;49.0663099;8.469876
150;Blansgn;Blansingen;47.6909466;7.5409778
151;Blasiwald;Blasiwald;47.7954083;8.1663379
152;Bleib.;Bleibach;48.1224647;8.0083804
153;Bleichhm;Bleichheim;48.2081174;7.8305159
154;Blumbg;Blumberg;47.8401424;8.534081
155;Blumegg;Blumegg;47.80785;8.49844
156;Blumenf.;Blumenfeld;47.8150174;8.6824939
157;Bobst.;Bobstadt;49.4654359;9.6729976
158;Bodersw.;Bodersweier;48.6006939;7.8707271
159;Bödighm;Bödigheim;49.4783262;9.315242
160;Bodman;Bodman;47.8013992;9.030746
161;Bofshm;Bofsheim;49.471811;9.411914
162;Bohlgn;Bohlingen;47.7192059;8.8952725
163;Bohlsb.;Bohlsbach;48.4959593;7.9471514
164;Böhrgn;Böhringen;47.75362;8.93296
165;Boll (Bonnd.);Boll (Bonnd.);47.83612;8.34848
166;Boll (Meßk.);Boll (Meßk.);47.94739;9.02863
167;Böllen;Böllen;47.79865195;7.844341145
168;Bollenb.;Bollenbach;48.2921058;8.0735008
169;Bollschweil;Bollschweil;47.9212582;7.7886752
170;Bomb.;Bombach;48.1788279;7.8177598
171;Bonnd. i. Schw.;Bonndorf  i. Schw.;47.8195619;8.3420691
172;Bonnd. (Überlgn);Bonndorf (Überlgn);47.82979;9.09315
173;Bottenau;Bottenau;48.520262;8.048742
174;Bottgn;Bottingen;48.0903501;7.7840747
175;Bötzgn;Bötzingen;48.0713081;7.7184992
176;Boxbg;Boxberg;49.4811419;9.6412157
177;Boxt.;Boxtal;49.763718;9.402182
178;Bräunlgn;Bräunlingen;47.9300645;8.448329
179;Brehmen;Brehmen;49.5681832;9.5546772
180;Breisach;Breisach;48.029499;7.580739
181;Breitenbronn;Breitenbronn;49.3638873;9.0218476
182;Breitenf.;Breitenfeld;47.6539182;8.3075052
183;Breith.;Breithurst;48.6845084;8.0810541
184;Breitnau;Breitnau;47.9398612;8.0770221
185;Bremgarten;Bremgarten;47.9174601;7.6238784
186;Brenden;Brenden;47.72787;8.22517
187;Brennet;Brennet;47.58288245;7.912565066
188;Bretten;Bretten;49.0366265;8.7068077
189;Brettent.;Brettental;48.1896969;7.9420456
190;Bretzgn;Bretzingen;49.5788271;9.4852671
191;Brigach;Brigach;48.0680766;8.4288364
192;Britzgn;Britzingen;47.82901;7.670726
193;Broggingen;Broggingen;48.2187449;7.8293967
194;Bromb. (Heidelb.);Brombach (Heidelb.);49.48944;8.86886
195;Bromb. (Lörr.);Brombach (Lörr.);47.63307;7.69511
196;Bronnb.;Bronnbach;49.7128157;9.5471281
197;Brötzgn;Brötzingen;48.8895804;8.66795
198;Bruchhsn;Bruchhausen;48.9259588;8.3699476
199;Bruchsal;Bruchsal;49.124118;8.5980244
200;Brühl;Brühl;49.3953536;8.5340405
201;Brunnadern (Bonnd.);Brunnadern (Bonnd.);47.79528;8.38043
202;Brunnadern (Waldsh.);Brunnadern (Waldsh.);47.69104;8.14432
203;Brunnt.;Brunntal;49.6831723;9.6950017
204;Bubenb.;Bubenbach;47.96539;8.296153
205;Buch (Waldsh.);Buch (Waldsh.);47.61373;8.11477
206;Buch a. Ahorn;Buch a. Ahorn;49.538826;9.5560427
208;Buchen;Buchen;49.5222974;9.3243187
209;Büchenau;Büchenau;49.101051;8.529538
210;Buchenb.;Buchenbach;47.96138;8.00909
211;Buchenbg;Buchenberg;48.16071;8.37891
212;Büchenbronn;Büchenbronn;48.8552336;8.6633844
213;Buchhm (Freib.);Buchheim (Freib.);48.05954;7.77286
214;Buchhm (Meßk.);Buchheim (Meßk.);48.01037;8.98596
214;Buchhm (Meßk.);Buchheim (Meßk.);48.01037;8.98596
215;Buchholz;Buchholz;48.081495;7.915098
216;Büchig (Brett.);Büchig (Brett.);49.07284;8.71102
217;Büchig (Karlsr.);Büchig (Karlsr.);49.04886;8.46751
218;Buggenrd;Buggenried;47.74531;8.2504048
219;Buggingen;Buggingen;47.8469223;7.6388717
220;Bühl (Offb.);Bühl (Offb.);48.49589;7.93147
221;Bühl (Rast.);Bühl (Rast.);48.69676;8.13523
222;Bühl (Waldsh.);Bühl (Waldsh.);47.61758;8.46452
223;Bühlert.;Bühlertal;48.6868867;8.1872676
224;Bulach;Bulach;48.9866583;8.3775383
225;Burb.;Burbach;48.8707408;8.4404638
226;Bürchau;Bürchau;47.7751586;7.8269226
227;Burg;Burg;47.97214;7.97982
228;Burgb.;Burgbach;48.4116195;8.3331359
229;Burgbg;Burgberg;48.15154;8.44394
230;Bürglen;Bürglen;47.6497961;8.244625
231;Burgwlr;Burgweiler;47.9165;9.352284
232;Burkhm;Burkheim;48.1013025;7.598503
233;Busenb.;Busenbach;48.9305661;8.4542655
234;Büsgn;Büsingen;47.6975034;8.6907123
235;Büßlgn;Büßlingen;47.7917366;8.6849537
236;Butschb.;Butschbach;48.521026;8.066841
237;Dainb.;Dainbach;49.4965129;9.714599
238;Daisb.;Daisbach;49.293953;8.8767345
239;Daisend.;Daisendorf;47.7109726;9.2679626
240;Dallau;Dallau;49.3847758;9.1894698
241;Dangstet.;Dangstetten;47.5951176;8.320972
242;Dattgn;Dattingen;47.833686;7.657188
243;Dauchgn;Dauchingen;48.0903198;8.5504079
244;Daudenz.;Daudenzell;49.3477869;9.0059006
245;Daxlanden;Daxlanden;49.0014111;8.3386057
246;Degerf.;Degerfelden;47.5717399;7.7456376
247;Degernau;Degernau;47.6679121;8.3825555
248;Deggenhsn;Deggenhausen;47.802171;9.3835977
249;Deisend.;Deisendorf;47.7686966;9.2163484
250;Dembg;Demberg;47.740119;7.7750319
251;Denkgn;Denkingen;47.89446;9.30867
252;Denzlgn;Denzlingen;48.0669167;7.8862704
253;Dertgn;Dertingen;49.7662837;9.6178717
254;Dettighfn;Dettighofen;47.6240598;8.4851391
255;Dettgn;Dettingen;47.73367;9.11647
256;Detzeln;Detzeln;47.6677855;8.320667
257;Deub.;Deubach;49.5472181;9.7716163
258;Diedelshm;Diedelsheim;49.042842;8.6807405
259;Diedeshm;Diedesheim;49.35077;9.10894
260;Dielhm;Dielheim;49.2824981;8.7351709
261;Dienst.;Dienstadt;49.6340857;9.6125022
262;Diersburg;Diersburg;48.3991692;7.9365804
263;Diershm;Diersheim;48.6464642;7.8896058
264;Dietenb.;Dietenbach;47.9545474;7.9425577
265;Dietenhan;Dietenhan;49.7436158;9.6065352
266;Dietenhsn;Dietenhausen;48.9150729;8.5572802
267;Dietlgn (Waldsh.);Dietlingen (Waldsh.);47.67353;8.24405
268;Dietlgn (Pforzh.);Dietlingen (Pforzh.);48.8962;8.60149
269;Dillend.;Dillendorf;47.7991621;8.4031423
270;Dillstein;Dillstein;48.8780342;8.6764186
271;Dill-Weißenstein;Dill-Weißenstein;48.86962;8.68832
272;Dilsbg;Dilsberg;49.3988799;8.8368357
273;Dingelsd.;Dingelsdorf;47.7389208;9.1560289
274;Dinglgn;Dinglingen;48.3422479;7.8490882
275;Distelhsn;Distelhausen;49.5989504;9.6955366
276;Dittighm;Dittigheim;49.6101091;9.676174
277;Dittishsn;Dittishausen;47.900801;8.363636
278;Dittwar;Dittwar;49.5903537;9.6365448
279;Dogern;Dogern;47.60846;8.1691168
280;Döggingen;Döggingen;47.892594;8.436392
281;Donaueschgn;Donaueschingen;47.9534194;8.4959257
282;Doneb.;Donebach;49.5611317;9.1914422
283;Dörlesbg;Dörlesberg;49.712855;9.5012422
284;Dörlinb.;Dörlinbach;48.2459675;7.954273
285;Dornbg;Dornberg;49.62566;9.4284
286;Dossenb.;Dossenbach;47.6151637;7.8572699
287;Dossenhm;Dossenheim;49.449242;8.6732428
288;Dottgn;Dottingen;47.8575816;7.6907875
289;Dresselb.;Dresselbach;47.8290894;8.2035467
290;Duchtlgn;Duchtlingen;47.789857;8.7919719
291;Dühren;Dühren;49.243601;8.836919
292;Dumb.;Dumbach;49.56097;9.19264
293;Dundenhm;Dundenheim;48.450072;7.816302
294;Durb.;Durbach;48.4946385;8.0182635
295;Durlach;Durlach;48.9994421;8.4702066
296;Durmershm;Durmersheim;48.9328266;8.2704865
297;Dürrenbüchig;Dürrenbüchig;49.0217963;8.6480458
298;Dürrenbühl;Dürrenbühl;47.8026549;8.2369539
299;Dürrhm;Dürrheim;48.0222311;8.5299837
300;Dürrn;Dürrn;48.9565867;8.7552672
301;Eberb.;Eberbach;49.4635303;8.9855203
302;Eberfgn;Eberfingen;47.71877415;8.426279689
303;Ebersteinburg;Ebersteinburg;48.7787163;8.2710473
304;Ebersw.;Ebersweier;48.5079094;7.9852269
305;Ebnet (Bonnd.);Ebnet (Bonnd.);47.79721;8.30694
306;Ebnet (Freib.);Ebnet (Freib.);47.98853;7.90849
307;Ebratswlr;Ebratsweiler;47.8740751;9.1740406
308;Ebrgn (Engen);Ebringen (Engen);47.75092;8.75619
309;Ebrgn (Freib.);Ebringen (Freib.);47.9578;7.77652
310;Eckartsw.;Eckartsweier;48.5293712;7.8537988
311;Eckb.;Eckbach;47.9538492;8.1519411
312;Edgn;Edingen;49.4459156;8.6120103
313;Efrgn-Kirchen;Efringen-Kirchen;47.6556421;7.565174
314;Egg;Egg;47.586855;7.959602
315;Eggenstein;Eggenstein;49.0776664;8.3947842
316;Eggingen;Eggingen;47.6962642;8.3954399
317;Egisholz;Egisholz;47.68431035;7.652806068
318;Egrgn;Egringen;47.6643913;7.5984656
319;Ehgn;Ehingen;47.82592;8.80275
320;Ehrenstet.;Ehrenstetten;47.9137674;7.7525887
321;Ehrsbg;Ehrsberg;47.7437032;7.9061053
322;Ehrstädt;Ehrstädt;49.244369;8.981801
323;Eichbg;Eichberg;47.6267;8.46542
324;Eichel;Eichel;49.7649327;9.5408932
325;Eichelbg;Eichelberg;49.18822;8.81395
326;Eichen;Eichen;47.64596;7.84544
327;Eichsel;Eichsel;47.595697;7.755863
328;Eichstet.;Eichstetten;48.0938296;7.7314344
329;Eichtershm;Eichtersheim;49.2375865;8.7770902
330;Eiershm;Eiersheim;49.6596704;9.5878876
331;Eigeltgn;Eigeltingen;47.8582141;8.8955908
332;Eimeldgn;Eimeldingen;47.6321888;7.595491
333;Einb. (Buchen);Einbach (Buchen);49.48476;9.24056
334;Einb. (Haus.);Einbach (Hausach);48.31359;8.17042
335;Eisenb.;Eisenbach;47.9624362;8.2710482
336;Eisent.;Eisental;48.7122112;8.1636895
337;Eisgn;Eisingen;48.9478916;8.668972
338;Elbenschwand;Elbenschwand;47.7507009;7.8307146
339;Elcheshm;Elchesheim;48.9306923;8.210126
340;Elgersw.;Elgersweier;48.4403034;7.9469887
341;Ellmendgn;Ellmendingen;48.9012617;8.5759762
